id	exclude_id	category
7c3fce93-a72e-4b59-a1fd-6bed60f55089	6de001df-f292-4033-aeb4-2241a3c76c4e	J00
f256ae42-675c-4a5f-bd11-6598ad70b0e5	f20af5e6-e6ea-41af-a367-b815a52cce9a	J42
2fc73149-9aa5-4f68-bf0e-dd7ceed1799e	ecb4fd4c-a859-4584-9775-4f00b6a2d35c	J22
12f1a117-00ad-4540-8dfb-4720033388ae	7f875e24-93da-46f1-9c7e-ebb888e2db4c	J36
4d677a5d-d0c5-42c3-8835-34b48c1ba379	53ecf866-5ab3-4bd0-8e1a-e8dece81bd68	J42
f1fe6b12-8824-4716-8ce9-9e63e1b238a9	02c0df77-c246-47ca-91b2-813178583772	J42
8fef624f-610b-41c3-a093-39c7c98d91bc	23103757-e68c-4a43-bfdd-71c6bc099824	J42
b9c77f18-a8b7-46b0-83cb-b992ae94d833	a827e401-b4c1-4b3f-b32c-deaa9af275b3	J42
b713b3b2-1763-4d5e-abbd-5c699a6d1155	972f9e91-4b0f-44a6-af45-120b36472be3	J60
24451646-49a0-480d-b54b-b6ab2f3eeefb	ddcc8767-7408-4eaa-be5f-084133a6173f	J65
5a7b570e-50f5-4d72-9cf6-cf26c3b3f5d3	27d65db4-6f0a-4902-9f81-2b68c6fa133d	J65
096d0c4e-f7cf-41d9-9c35-985582f690ad	bccb5c9b-9a5e-4403-a079-5234f9e8147e	J65
26ffe5db-2a19-4d90-b449-d588bbb67c9d	b6a115ae-e26e-4497-902f-a94365db88bb	J65
a44f4c3a-71fb-44f7-b0ff-6356fe87e334	ee869f21-2e21-4ac2-b7fa-9421a36554c2	J65
18c84be5-5d0c-4049-9882-046df7ab6d07	3b363369-dfc4-4abd-b51b-88c2baaef78c	J61
68cd40b2-0460-4d5a-b499-3650c39a9e45	f8bdeb64-64da-473d-9667-52c9a57e4046	B59
2b80943b-0a9d-4675-8ee7-56cecc01faa2	813d8886-e8d5-4aed-aa46-130fd97f6f90	B59
b501ce84-4e52-4a28-ad19-f1e23bbdb8bd	88215e8a-f315-4ae5-aedd-f29492b3d7e5	O29
68ccdb62-8961-4e65-a5b9-72466c8682d8	fc6e4e24-2c32-4158-aa78-5a80adeea0ed	J80
6b9c076d-884b-4d55-9365-ee52bd06f1bf	82dc3807-c199-48b0-b9da-ac054b65d0b7	A15
3bb5cf02-b2d6-4ef2-bae2-e22443371e47	d00705fe-c1f1-4c2a-8bad-4d95794044bd	J36
4a1e601a-f0a7-47c7-a8b9-cd78784e3018	dd6c256b-5411-4709-a329-3a276a96bbce	R12
1954df2d-f635-4af0-a3a4-a56409efbf04	ece531fe-cb67-4899-a4e9-234196ae3d82	A09
a3e8e32f-8585-43c5-ae97-f52177efcc19	6dd993e9-d981-467e-9513-107174f74b75	O85
ba211d98-d0d5-4733-9216-115a391b0aad	e0124b27-8f36-48ed-af92-8b947a6ecac6	I81
2cf7f1e1-379a-48d8-aa92-6db7e9698238	f61a8e9e-ebb3-4c98-a1c1-c88abc7a9a55	B20
2d525091-6ac9-4364-80c4-b13692584ed5	cb3e57d4-23a0-4f79-9c12-26b44c21953d	L88
63c59a25-6520-4031-b0c1-71e680d7d8ad	7b39acb8-79c3-4df6-b132-49f2b48dd6de	L88
b6a486ad-be83-479c-8c5b-ac392a95e0d6	a836df52-ef88-4f36-92d4-c19f93904725	L22
1913a215-2b77-4a87-91b8-b4be8b99845c	444b04f0-d257-4d4d-80dd-509a73e3bc95	L22
6b3884be-3e87-4167-8099-45e8ccecbd2f	4e8ffe2f-5992-4ee8-94c4-86e5dcf96c19	L22
d6f592aa-edc3-4297-9c51-9d58d545fecc	48f8c08d-1548-462f-835a-10d1cbf51c40	L00
2ea458ee-c083-4d69-af4f-967a30ce4d3d	a3d18609-68f1-4a00-a53c-151c6b922cc1	L00
93b9fed9-c71b-46d3-9934-edfcc8994799	3bfebddf-6054-4d38-9413-7478437f85b7	L00
9046ade7-7e3a-453d-b75d-7da5532aebb5	225a1d2f-c540-4268-84e2-0023f152c65c	R61
80b4e150-9f2d-4580-b2d2-ef1406d9744e	cd598dbc-895c-4722-8bd2-2b754d055810	N86
a2068338-c3e9-4769-9cf4-20f2095d1011	7511fd0c-7b06-41a1-a780-5a4ffc2ab81a	I96
c1781e1a-5fb1-43d2-84df-1a4ad08105ef	61bdc4c8-67a7-4741-9cfc-30f0a34cd551	I00
6e8210c3-ed17-4fe9-a3b5-8c658178b9bc	c9db1a6c-58b6-4380-9525-97decad2abcc	I00
34cf8e14-48b7-4297-9785-ab7a036c4bbd	95748e40-2a72-4074-aabe-1c1a210609e8	G14
30e1f02f-3d41-43f9-93de-7e3f421ae05d	a0aa0c97-be66-43be-b825-5c4f9682274a	M80
cdf01d3e-ddbe-43fa-b9a7-1e0b15b70721	165adf5e-1704-4896-b901-7e04be6d21b4	N10
94305a0a-c4ad-4d37-9fda-3ce139298f52	f1ca2936-bb2e-4ff6-bad6-10b86f95f2bd	N12
6a6123f9-fe83-4194-85d7-08b95b487e5a	4546fa17-2773-404f-a68a-6b47a4e79f1c	N16
9be277a7-568d-4b02-a9ab-343b9f12322b	2beb6479-821f-476c-874c-57cee18f6e0d	N16
877d6db0-72c6-45ca-9a5a-df05cf09e2e7	98061360-a435-4682-957f-bbb5b7234ffa	N29
7a18a6bc-9216-4270-9e33-a104ac21b51e	9c5fbff2-bf4e-4d04-910a-6807515dad28	R32
50e7d71e-4250-468e-959b-8e20e30892fa	fdb1de51-10b4-455d-b0f6-a213d83cd296	R32
e70f4f09-5dbc-41d1-b607-90fa1563ecee	e93763cd-ede8-4eeb-ab5b-ce048925606f	C61
