id	age_determination	pregnancy	warning_sign	priority
702327009	older child	t	Lethargy/ floppy infant	Emergency
704200007	older child	t	Lethargy/ floppy infant	Emergency
719157002	older child	t	Lethargy/ floppy infant	Emergency
719652007	older child	t	Lethargy/ floppy infant	Emergency
721173005	older child	t	Lethargy/ floppy infant	Emergency
721887007	older child	t	Lethargy/ floppy infant	Emergency
770754006	older child	t	Lethargy/ floppy infant	Emergency
773398005	older child	t	Lethargy/ floppy infant	Emergency
778025006	older child	t	Lethargy/ floppy infant	Emergency
1137379000	older child	t	Lethargy/ floppy infant	Emergency
1137384006	older child	t	Lethargy/ floppy infant	Emergency
1137385007	older child	t	Lethargy/ floppy infant	Emergency
1137386008	older child	t	Lethargy/ floppy infant	Emergency
1137387004	older child	t	Lethargy/ floppy infant	Emergency
1137399006	older child	t	Lethargy/ floppy infant	Emergency
1137403002	older child	t	Lethargy/ floppy infant	Emergency
1137404008	older child	t	Lethargy/ floppy infant	Emergency
1137496003	older child	t	Lethargy/ floppy infant	Emergency
1187212004	older child	t	Lethargy/ floppy infant	Emergency
1222655009	older child	t	Lethargy/ floppy infant	Emergency
1222704008	older child	t	Lethargy/ floppy infant	Emergency
1254651003	older child	t	Lethargy/ floppy infant	Emergency
1254652005	older child	t	Lethargy/ floppy infant	Emergency
1255322002	older child	t	Lethargy/ floppy infant	Emergency
1281842000	older child	t	Lethargy/ floppy infant	Emergency
1303586006	older child	t	Lethargy/ floppy infant	Emergency
1340172003	older child	t	Lethargy/ floppy infant	Emergency
1362022003	older child	t	Lethargy/ floppy infant	Emergency
20343006	older child	f	Purpuric rash	Emergency
41486008	older child	f	Purpuric rash	Emergency
56231002	older child	f	Purpuric rash	Emergency
64146000	older child	f	Purpuric rash	Emergency
111199007	older child	f	Purpuric rash	Emergency
238782003	older child	f	Purpuric rash	Emergency
238783008	older child	f	Purpuric rash	Emergency
222008	older child	t	Obstructed breathing	Emergency
718004	older child	t	Obstructed breathing	Emergency
5875001	older child	t	Obstructed breathing	Emergency
8519009	older child	t	Obstructed breathing	Emergency
36925002	older child	t	Obstructed breathing	Emergency
39643002	older child	t	Obstructed breathing	Emergency
58525007	older child	t	Obstructed breathing	Emergency
61169001	older child	t	Obstructed breathing	Emergency
68372009	older child	t	Obstructed breathing	Emergency
69061003	older child	t	Obstructed breathing	Emergency
73342002	older child	t	Obstructed breathing	Emergency
79688008	older child	t	Obstructed breathing	Emergency
85597002	older child	t	Obstructed breathing	Emergency
185086009	older child	t	Obstructed breathing	Emergency
217808004	older child	t	Obstructed breathing	Emergency
217810002	older child	t	Obstructed breathing	Emergency
232209000	older child	t	Obstructed breathing	Emergency
233630006	older child	t	Obstructed breathing	Emergency
248554005	older child	t	Obstructed breathing	Emergency
248555006	older child	t	Obstructed breathing	Emergency
249346001	older child	t	Obstructed breathing	Emergency
275495004	older child	t	Obstructed breathing	Emergency
301253007	older child	t	Obstructed breathing	Emergency
301254001	older child	t	Obstructed breathing	Emergency
301255000	older child	t	Obstructed breathing	Emergency
371035002	older child	t	Obstructed breathing	Emergency
371126007	older child	t	Obstructed breathing	Emergency
408669002	older child	t	Obstructed breathing	Emergency
425227004	older child	t	Obstructed breathing	Emergency
427251005	older child	t	Obstructed breathing	Emergency
427286007	older child	t	Obstructed breathing	Emergency
427480003	older child	t	Obstructed breathing	Emergency
427890000	older child	t	Obstructed breathing	Emergency
428080007	older child	t	Obstructed breathing	Emergency
428487003	older child	t	Obstructed breathing	Emergency
428849001	older child	t	Obstructed breathing	Emergency
429491000	older child	t	Obstructed breathing	Emergency
788997004	older child	t	Obstructed breathing	Emergency
865890009	older child	t	Obstructed breathing	Emergency
865891008	older child	t	Obstructed breathing	Emergency
865892001	older child	t	Obstructed breathing	Emergency
865908007	older child	t	Obstructed breathing	Emergency
