id	medication_id	value	units	description
91aa97bd-8acf-44a4-8b9f-cf733f935c16	c4d2dff1-4557-42de-b1d1-e5ce1ee28110	1	TABLET	TABLET, COATED
186dff1f-241c-4438-8cb4-dd6b6fa6cad3	d7321993-813f-423f-835c-fa640217ebe4	1	TABLET	TABLET, COATED
a21da0c9-9a10-4c4b-a00a-0b47369d2ed1	11c3c21f-af71-44be-a691-8dc4a9222c29	15	ML	SOLUTION
dfd679a4-a3bb-41c8-9d83-7e4588fb897a	9c498362-28d3-4318-8997-49e92f402e5e	1	LOZENGE	TROCHE/LOZENGE
64a0bfb9-3357-4e7b-868a-44b0b1fa98c2	a893cb4a-00fd-405d-81fc-75a2b535e828	1	DOSE	GEL
58493230-f9d4-4252-b79e-1e07c3dd6266	2eb5a7d2-96ef-459a-af86-0da37b517cdf	1	TABLET	TABLET, COATED
3b0bcf4d-3927-400f-bb0c-93ba0e2f88e4	bb76e18d-1efb-478a-86c7-4bddb730e0b5	1	TABLET	TABLET
fb958d97-1b12-4efb-a9f6-de26caca2adb	63c588f3-3c76-457d-8e34-74c527ae4f35	1	ML	SOLUTION
fc5972ac-1ae3-40ed-b471-0a27b937cdce	03228770-4c0b-4677-bee2-28d37ad4ff57	1	TABLET	TABLET
480c4aea-fd5a-4303-9474-747faa573181	ba3112e9-2033-450c-a745-3d6a3c7fc46e	1	TABLET	TABLET
7b6fc5b6-446a-47d6-b25b-3409c298b49d	aefd2032-ad38-42c9-83bb-e146ce3ac91b	5	ML	SYRUP
85e29980-3351-41ea-bf93-a9b5698bd211	32c3da8e-28cd-4ee4-afef-972b910d5efa	1	TABLET	TABLET
cb1ba3a3-b651-49a3-87ab-b8d17d9cc4a9	2dc78122-af63-4a17-b4eb-17956a845f99	1	TABLET	TABLET
8c3d7d3d-1c44-47f1-bda5-f383b6974da8	fda8643e-2189-483a-b3eb-0b26d27038da	1	CAPSULE	CAPSULE
7af06adf-26da-41eb-97ae-2afb8eac5a46	6722249f-c566-4355-bfae-f8f464f803d9	1	CAPSULE	CAPSULE
d65f03e9-3d46-4bd4-acd0-f3077bb77f72	3aae57e5-6d8a-4238-9ed0-8544a7b9b591	1	TABLET	TABLET
cc612ae4-cfcf-4efb-8f6b-84937e23aadb	e2ae8ced-5546-415b-881b-38f30004d46c	1	TABLET	TABLET
c70c6f9d-8b44-49c7-837e-b0018db1e4b6	a4a6055c-1115-467d-8110-75e5e8e657fe	1	TABLET	TABLET
4992392d-09ed-4454-b762-ff1a7228e595	0daf7551-0645-44d1-91cc-00d2522f8fd5	1	TABLET	TABLET
8ce84fc8-a165-4965-a9d3-f7ca601718cf	7a9f0fef-de2f-4f55-a350-473582b19e48	1	TABLET	TABLET
4732e532-6201-498e-8b65-9b2c67c58e35	f8a5347b-2e34-4819-b9fe-09a2641663f6	1	TABLET	TABLET
bd49dc53-c403-42c7-87b7-368e837f5408	7253bddd-b0e9-4ab2-89da-2d6af3300889	1	TABLET	TABLET, COATED
1de41a17-2015-4c4d-b611-342a2af502a2	75d3c933-fdf1-42a0-b13f-70d87fc9248c	1	TABLET	TABLET
b95293cf-5e03-4385-b7fd-299d0c67ec45	edff93b3-4c6b-419e-856a-59694d62ce49	1	TABLET	TABLET
1a02847c-bdff-44fa-b964-d1c6c7a252ed	0e7bfb63-e3a5-4b91-be43-79ffa3136bde	1	TABLET	TABLET
a6d3d27d-30e6-4564-929d-2a5797f47bf9	d0736a25-9c97-4f02-ad8c-283b015ce863	1	TABLET	TABLET, COATED
