condition_id	icd10_code
c_9992	B00.59
c_3911	R09.89
c_9949	H91.10
c_3346	T14.8XXA
c_3346	T14.8XXD
c_3346	T14.8XXS
c_9261	L81.9
c_9943	B00.52
c_8322	E23.6
c_2394	N28.89
c_9254	H02.539
c_15179	Q69.2
c_15180	Q69.0
c_8218	K72.90
c_13954	N32.89
c_2463	E23.0
c_902	R30.0
c_18051	Q66.89
c_14273	C76.0
c_11305	C11.9
c_2106	R91.1
c_5118	N71.9
c_9679	H52.4
c_9125	M21.40
c_3970	K75.9
c_6677	H05.019
c_4506	K61.1
c_10508	I09.1
c_10824	D11.9
c_11554	E78.3
c_10440	C41.9
c_10439	D49.2
c_7291	J98.2
c_9410	G44.209
c_9399	K42.9
c_9409	L89.90
c_10716	Q80.9
c_19890	M66.869
c_19889	S76.119A
c_19889	S76.119D
c_19889	S76.119S
c_9915	M47.817
c_10657	L41.4
c_2934	N23
c_8762	M25.559
c_7020	Q45.3
c_8145	E72.01
c_8374	K82.9
c_10041	C71.9
c_2262	K90.9
c_4652	M62.89
c_2952	L98.499
c_2487	N83.209
c_8114	A19.9
c_10605	L57.9
c_10605	X32.XXXS
c_10595	L72.12
c_8207	K12.1
c_8197	J38.7
c_8156	E83.42
c_9881	D22.9
c_10456	C74.90
c_9714	S03.2XXA
c_9714	S03.2XXD
c_9714	S03.2XXS
c_9732	N97.9
c_8346	K68.19
c_11076	D33.0
c_3235	K70.9
c_4236	M94.0
c_6653	Q24.4
c_3842	R11.0
c_7342	I86.1
c_8163	E87.8
c_3790	H70.90
c_30706	N82.3
c_10889	K13.0
c_10890	L93.2
c_10242	N97.0
c_9583	S13.4XXA
c_9583	S13.4XXD
c_9583	S13.4XXS
c_14747	T86.11
c_4925	E13.10
c_5025	I33.0
c_5025	B96.89
c_1563	B44.9
c_11609	A32.9
c_9091	A37.90
c_4609	I74.4
c_4610	T78.3XXA
c_4610	T78.3XXD
c_4610	T78.3XXS
c_10328	C73
c_4776	D15.1
c_12871	G25.81
c_10633	L60.0
c_10719	E05.00
c_10720	D30.9
c_11402	G40.822
c_22659	I67.9
c_9933	B85.0
c_5112	I47.1
c_5112	I45.9
c_10734	M85.00
c_11191	S54.00XA
c_11191	S54.00XD
c_11191	S54.00XS
c_9603	H57.89
c_21794	L72.2
c_21804	L29.8
c_9669	R19.8
c_10585	L65.2
c_10415	C62.90
c_18252	N76.0
c_18252	B96.89
c_17490	F60.3
c_17489	F21
c_8582	G91.2
c_9264	J34.2
c_21745	L71.0
c_10536	C81.10
c_9413	H16.209
c_10710	K76.89
