iso_639_2	iso_639_3	iso_639_5	iso_639_1	language_names	scope	type	native_names	other_names
oji	oji		oj	Ojibwa	Macrolanguage	Living	ᐊᓂᐦᔑᓈᐯᒧᐎᓐ; *Anishinaabemowin*	Ojibwe; Ojibwan
ori	ori		or	Oriya	Macrolanguage	Living	ଓଡ଼ିଆ	Odia; Odishan
orm	orm		om	Oromo	Macrolanguage	Living	*Afaan Oromoo*	
osa	osa			Osage	Individual	Living	𐓏𐓘𐓻𐓘𐓻𐓟 𐒻𐓟, *Wazhazhe ie*	
oss	oss		os	Ossetian; Ossetic	Individual	Living	Ирон ӕвзаг, *Iron ævzag*	
ota	ota			Turkish, Ottoman (1500–1928)	Individual	Historical	لسان عثمانى, *lisân-ı Osmânî*	
oto		oto		Otomian languages	Collective	Genetic		Oto-Pamean languages
paa		paa		Papuan languages	Collective	Geographic		
pag	pag			Pangasinan	Individual	Living	*Salitan Pangasinan*	
pal	pal			Pahlavi	Individual	Historical	*Pārsīk*; *Pārsīg*	Middle Persian
pam	pam			Pampanga; Kapampangan	Individual	Living	*Amánung Kapampangan*; *Amánung Sísuan*	
pan	pan		pa	Panjabi; Punjabi	Individual	Living	ਪੰਜਾਬੀ, پنجابی, *Pãjābī*	
pap	pap			Papiamento	Individual	Living	*Papiamentu*	
pau	pau			Palauan	Individual	Living	*a tekoi er a Belau*	
peo	peo			Persian, Old (ca.600–400 B.C.)	Individual	Historical		
phi		phi		Philippine languages	Collective	Geographic		
phn	phn			Phoenician	Individual	Historical	𐤃𐤁𐤓𐤉𐤌 𐤊𐤍𐤏𐤍𐤉𐤌, *Dabariym Kana'aniym*	
pli	pli		pi	Pali	Individual	Historical	*Pāli*	
pol	pol		pl	Polish	Individual	Living	*Język polski*	
pon	pon			Pohnpeian	Individual	Living	*Lokaiahn Pohnpei*	
por	por		pt	Portuguese	Individual	Living	*Português*	
pra		pra		Prakrit languages	Collective	Genetic		
pro	pro			Provençal, Old (to 1500); Old Occitan (to 1500)	Individual	Historical		
